"Notes","Census Region of Residence","Census Region of Residence Code","State of Residence","State of Residence Code","Year","Year Code","Mother's Single Race 6","Mother's Single Race 6 Code","Mother's Education","Mother's Education Code",Births,Average Age of Mother (years),Average Birth Weight (grams),Average Pre-pregnancy BMI,Average Number of Prenatal Visits
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","American Indian or Alaska Native","1002-5","8th grade or less","1",27,30.19,3212.04,27.45,10.22
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","American Indian or Alaska Native","1002-5","9th through 12th grade with no diploma","2",48,27.15,3132.90,27.27,12.12
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","American Indian or Alaska Native","1002-5","High school graduate or GED completed","3",83,27.16,3298.93,26.88,11.58
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","American Indian or Alaska Native","1002-5","Some college credit, but not a degree","4",48,28.75,3157.29,27.94,12.56
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","American Indian or Alaska Native","1002-5","Associate degree (AA, AS)","5",22,31.32,3196.91,27.32,13.18
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","American Indian or Alaska Native","1002-5","Bachelor's degree (BA, AB, BS)","6",26,31.92,3364.15,25.26,11.15
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","American Indian or Alaska Native","1002-5","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",12,31.33,3461.00,26.18,11.42
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Asian","A","8th grade or less","1",36,30.78,3272.72,24.96,10.97
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Asian","A","9th through 12th grade with no diploma","2",73,30.10,3154.41,24.98,11.68
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Asian","A","High school graduate or GED completed","3",179,29.74,3188.09,25.22,11.50
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Asian","A","Some college credit, but not a degree","4",141,29.97,3240.61,25.86,12.25
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Asian","A","Associate degree (AA, AS)","5",93,31.91,3220.56,24.73,13.16
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Asian","A","Bachelor's degree (BA, AB, BS)","6",687,32.06,3179.68,24.53,12.37
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Asian","A","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",569,33.05,3167.48,23.83,12.48
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Asian","A","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",246,33.78,3172.74,23.31,12.22
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Black or African American","2054-5","8th grade or less","1",80,30.14,3174.99,26.95,11.77
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Black or African American","2054-5","9th through 12th grade with no diploma","2",425,26.30,3100.42,28.51,11.05
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Black or African American","2054-5","High school graduate or GED completed","3",1547,28.02,3127.50,29.91,11.93
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Black or African American","2054-5","Some college credit, but not a degree","4",1320,28.81,3126.08,29.78,12.15
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Black or African American","2054-5","Associate degree (AA, AS)","5",565,30.65,3177.60,29.59,12.14
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Black or African American","2054-5","Bachelor's degree (BA, AB, BS)","6",705,31.62,3182.57,29.05,12.39
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Black or African American","2054-5","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",331,33.21,3213.94,29.53,12.75
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","Black or African American","2054-5","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",84,34.90,3287.61,26.28,12.54
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","White","2106-3","8th grade or less","1",609,31.25,3270.12,26.74,11.67
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","White","2106-3","9th through 12th grade with no diploma","2",1665,26.63,3221.08,27.98,11.76
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","White","2106-3","High school graduate or GED completed","3",4510,27.95,3265.98,28.14,12.26
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","White","2106-3","Some college credit, but not a degree","4",3815,29.48,3290.04,28.31,12.38
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","White","2106-3","Associate degree (AA, AS)","5",2121,30.86,3335.99,27.94,12.57
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","White","2106-3","Bachelor's degree (BA, AB, BS)","6",6502,32.57,3371.03,25.73,12.54
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","White","2106-3","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4839,33.43,3375.47,25.48,12.69
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","White","2106-3","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1107,34.57,3345.90,24.44,12.44
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","White","2106-3","Unknown or Not Stated","Unk",42,29.40,3126.50,25.55,8.00
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","More than one race","M","8th grade or less","1",26,28.12,3388.81,27.52,11.58
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","More than one race","M","9th through 12th grade with no diploma","2",84,24.56,3242.33,28.21,10.83
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","More than one race","M","High school graduate or GED completed","3",247,25.79,3088.15,29.58,11.41
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","More than one race","M","Some college credit, but not a degree","4",196,27.31,3256.10,28.62,11.90
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","More than one race","M","Associate degree (AA, AS)","5",93,29.85,3251.86,28.54,12.06
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","More than one race","M","Bachelor's degree (BA, AB, BS)","6",122,31.88,3321.42,27.45,12.24
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","More than one race","M","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",78,34.13,3383.51,26.59,12.31
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2020","2020","More than one race","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",25,33.36,3388.36,24.88,11.68
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","American Indian or Alaska Native","1002-5","8th grade or less","1",37,31.27,3232.76,27.97,12.70
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","American Indian or Alaska Native","1002-5","9th through 12th grade with no diploma","2",50,26.70,3233.10,28.16,10.31
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","American Indian or Alaska Native","1002-5","High school graduate or GED completed","3",104,27.25,3337.97,26.66,12.09
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","American Indian or Alaska Native","1002-5","Some college credit, but not a degree","4",35,29.23,3050.83,27.26,10.76
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","American Indian or Alaska Native","1002-5","Associate degree (AA, AS)","5",15,31.73,3588.93,30.95,14.00
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","American Indian or Alaska Native","1002-5","Bachelor's degree (BA, AB, BS)","6",27,30.19,3579.37,27.39,11.56
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","American Indian or Alaska Native","1002-5","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",13,32.23,3446.77,28.73,13.69
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Asian","A","8th grade or less","1",28,32.39,3165.29,26.39,10.93
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Asian","A","9th through 12th grade with no diploma","2",56,30.21,3211.86,25.37,11.95
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Asian","A","High school graduate or GED completed","3",137,30.23,3183.03,25.60,12.70
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Asian","A","Some college credit, but not a degree","4",146,30.59,3130.45,26.18,12.86
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Asian","A","Associate degree (AA, AS)","5",99,31.33,3262.92,25.78,11.79
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Asian","A","Bachelor's degree (BA, AB, BS)","6",689,32.40,3161.18,24.52,12.37
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Asian","A","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",554,33.73,3109.43,24.53,12.77
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Asian","A","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",270,34.67,3179.09,23.20,12.15
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Black or African American","2054-5","8th grade or less","1",78,29.90,3086.15,26.61,10.26
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Black or African American","2054-5","9th through 12th grade with no diploma","2",501,25.95,3080.09,27.99,10.72
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Black or African American","2054-5","High school graduate or GED completed","3",1591,28.07,3106.12,29.54,11.58
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Black or African American","2054-5","Some college credit, but not a degree","4",1443,29.23,3118.64,29.55,12.15
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Black or African American","2054-5","Associate degree (AA, AS)","5",607,31.30,3141.17,30.06,11.98
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Black or African American","2054-5","Bachelor's degree (BA, AB, BS)","6",807,31.93,3138.55,29.11,12.19
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Black or African American","2054-5","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",456,33.52,3129.85,29.15,12.71
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","Black or African American","2054-5","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",91,35.03,3190.18,27.70,12.94
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","White","2106-3","8th grade or less","1",649,30.48,3240.71,27.22,11.36
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","White","2106-3","9th through 12th grade with no diploma","2",1591,26.78,3180.36,27.87,11.44
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","White","2106-3","High school graduate or GED completed","3",4516,27.94,3248.53,28.44,11.99
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","White","2106-3","Some college credit, but not a degree","4",3913,29.78,3288.76,28.19,12.44
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","White","2106-3","Associate degree (AA, AS)","5",2146,31.17,3336.65,28.30,12.62
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","White","2106-3","Bachelor's degree (BA, AB, BS)","6",7375,32.70,3359.36,25.89,12.61
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","White","2106-3","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5456,33.52,3372.26,25.75,12.70
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","White","2106-3","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1201,34.23,3334.99,24.54,12.40
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","White","2106-3","Unknown or Not Stated","Unk",32,28.88,2985.66,24.29,9.23
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","More than one race","M","8th grade or less","1",30,29.43,3564.67,27.42,8.67
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","More than one race","M","9th through 12th grade with no diploma","2",57,23.96,3142.63,26.72,10.57
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","More than one race","M","High school graduate or GED completed","3",210,26.43,3242.19,30.07,12.02
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","More than one race","M","Some college credit, but not a degree","4",235,28.26,3202.14,29.27,11.93
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","More than one race","M","Associate degree (AA, AS)","5",88,30.45,3150.93,31.26,12.62
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","More than one race","M","Bachelor's degree (BA, AB, BS)","6",169,31.38,3384.44,26.24,12.27
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","More than one race","M","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",111,33.77,3362.31,27.52,12.72
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2021","2021","More than one race","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",22,32.77,3299.59,25.14,12.09
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","American Indian or Alaska Native","1002-5","8th grade or less","1",42,29.79,3209.05,26.08,10.44
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","American Indian or Alaska Native","1002-5","9th through 12th grade with no diploma","2",48,28.31,3344.42,28.06,10.12
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","American Indian or Alaska Native","1002-5","High school graduate or GED completed","3",111,28.30,3322.35,27.54,10.60
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","American Indian or Alaska Native","1002-5","Some college credit, but not a degree","4",50,29.32,3072.74,28.63,11.44
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","American Indian or Alaska Native","1002-5","Associate degree (AA, AS)","5",24,31.88,3426.25,28.24,11.92
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","American Indian or Alaska Native","1002-5","Bachelor's degree (BA, AB, BS)","6",23,30.39,3407.17,27.62,11.17
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Asian","A","8th grade or less","1",41,30.07,3305.32,26.06,11.22
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Asian","A","9th through 12th grade with no diploma","2",59,29.75,3162.15,25.55,10.75
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Asian","A","High school graduate or GED completed","3",162,30.94,3243.07,25.82,11.54
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Asian","A","Some college credit, but not a degree","4",116,30.64,3122.02,25.15,12.29
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Asian","A","Associate degree (AA, AS)","5",82,32.17,3007.84,25.11,11.98
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Asian","A","Bachelor's degree (BA, AB, BS)","6",649,32.55,3154.99,24.97,12.04
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Asian","A","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",535,33.40,3130.09,24.42,12.13
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Asian","A","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",278,34.68,3219.79,23.12,11.79
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Black or African American","2054-5","8th grade or less","1",94,30.27,3155.44,27.68,10.99
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Black or African American","2054-5","9th through 12th grade with no diploma","2",450,26.90,3052.27,28.26,10.48
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Black or African American","2054-5","High school graduate or GED completed","3",1698,28.43,3090.95,29.71,11.32
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Black or African American","2054-5","Some college credit, but not a degree","4",1357,29.55,3134.93,29.93,11.91
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Black or African American","2054-5","Associate degree (AA, AS)","5",624,31.51,3091.87,30.39,11.99
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Black or African American","2054-5","Bachelor's degree (BA, AB, BS)","6",818,31.79,3207.04,29.14,12.20
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Black or African American","2054-5","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",469,33.85,3198.77,28.94,12.15
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Black or African American","2054-5","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",97,34.56,3071.44,26.61,11.37
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","Black or African American","2054-5","Unknown or Not Stated","Unk",12,31.83,2561.42,24.69,8.36
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","White","2106-3","8th grade or less","1",662,30.40,3264.21,27.29,10.60
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","White","2106-3","9th through 12th grade with no diploma","2",1463,26.54,3189.32,27.72,11.07
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","White","2106-3","High school graduate or GED completed","3",4522,28.28,3247.53,28.38,11.85
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","White","2106-3","Some college credit, but not a degree","4",3545,29.88,3302.97,28.59,12.21
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","White","2106-3","Associate degree (AA, AS)","5",2141,31.37,3310.13,28.35,12.29
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","White","2106-3","Bachelor's degree (BA, AB, BS)","6",7264,32.80,3358.69,26.03,12.40
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","White","2106-3","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5494,33.58,3356.25,25.99,12.57
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","White","2106-3","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1268,34.33,3371.61,24.89,12.47
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","White","2106-3","Unknown or Not Stated","Unk",39,30.77,2924.82,27.19,6.45
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","More than one race","M","8th grade or less","1",32,29.91,3540.59,29.13,10.31
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","More than one race","M","9th through 12th grade with no diploma","2",69,25.41,3210.71,28.32,11.16
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","More than one race","M","High school graduate or GED completed","3",265,26.57,3112.92,28.33,11.10
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","More than one race","M","Some college credit, but not a degree","4",245,29.19,3271.25,28.94,12.37
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","More than one race","M","Associate degree (AA, AS)","5",97,30.72,3234.48,28.65,12.21
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","More than one race","M","Bachelor's degree (BA, AB, BS)","6",202,31.86,3317.89,27.05,12.19
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","More than one race","M","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",104,33.63,3286.78,26.94,13.26
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2022","2022","More than one race","M","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",37,33.95,3238.19,25.02,13.08
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","American Indian or Alaska Native","1002-5","8th grade or less","1",33,31.67,3352.91,26.98,9.91
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","American Indian or Alaska Native","1002-5","9th through 12th grade with no diploma","2",55,26.80,3194.22,26.56,10.32
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","American Indian or Alaska Native","1002-5","High school graduate or GED completed","3",105,27.60,3248.79,27.35,12.03
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","American Indian or Alaska Native","1002-5","Some college credit, but not a degree","4",40,29.12,3315.12,28.20,10.43
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","American Indian or Alaska Native","1002-5","Associate degree (AA, AS)","5",24,31.04,3191.88,28.54,10.91
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","American Indian or Alaska Native","1002-5","Bachelor's degree (BA, AB, BS)","6",31,32.06,3262.74,28.60,10.33
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Asian","A","8th grade or less","1",28,30.29,3149.93,26.46,12.18
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Asian","A","9th through 12th grade with no diploma","2",58,30.78,3083.57,25.55,11.64
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Asian","A","High school graduate or GED completed","3",180,30.49,3167.40,26.20,11.92
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Asian","A","Some college credit, but not a degree","4",133,30.40,3189.62,26.19,12.08
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Asian","A","Associate degree (AA, AS)","5",90,31.90,3236.89,25.42,12.22
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Asian","A","Bachelor's degree (BA, AB, BS)","6",643,32.68,3174.80,24.75,11.81
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Asian","A","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",529,33.97,3171.36,24.39,12.11
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Asian","A","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",252,34.60,3192.81,23.58,12.06
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Black or African American","2054-5","8th grade or less","1",78,31.55,3194.13,29.47,10.63
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Black or African American","2054-5","9th through 12th grade with no diploma","2",455,26.78,3102.95,28.18,10.52
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Black or African American","2054-5","High school graduate or GED completed","3",1599,28.38,3097.38,29.36,11.24
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Black or African American","2054-5","Some college credit, but not a degree","4",1244,29.70,3096.66,30.11,11.86
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Black or African American","2054-5","Associate degree (AA, AS)","5",545,31.60,3149.06,31.00,11.51
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Black or African American","2054-5","Bachelor's degree (BA, AB, BS)","6",848,32.56,3149.70,29.36,11.92
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Black or African American","2054-5","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",458,33.62,3148.59,29.62,12.09
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Black or African American","2054-5","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",108,34.72,3091.14,27.81,11.42
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","Native Hawaiian or Other Pacific Islander","NHOPI","High school graduate or GED completed","3",11,26.45,3329.27,26.73,12.20
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","White","2106-3","8th grade or less","1",684,30.17,3278.55,26.89,10.58
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","White","2106-3","9th through 12th grade with no diploma","2",1472,27.00,3202.07,27.77,11.20
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","White","2106-3","High school graduate or GED completed","3",4515,28.28,3236.75,28.05,11.68
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","White","2106-3","Some college credit, but not a degree","4",3434,29.97,3284.68,28.60,12.02
,"Census Region 1: Northeast","CENS-R1","Connecticut","09","2023","2023","White","2106-3","Associate degree (AA, AS)","5",2003,31.45,3312.94,28.41,12.16
